Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Description,Comments,RoHS Status,Lead Free Status,REACH Status
445-1273-1-ND,TDK CORPORATION (VA),C1608C0G1H220J080AA,"C1,C2",2,0,0,CAP CER 22PF 50V 5% NP0 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Apr-2011
732-2861-ND,WURTH ELECTRONICS INC,61301021821,GPS1,1,0,0,HEADER 10POS SOCKET DL 2.54 MM,,RoHS Compliant,Lead free,Unaffected Sep-2011
ACX1053-ND,AMPHENOL CONNEX,112536,CN1,1,0,0,CONN BNC FEM JACK PC MNT STRGHT,,RoHS Compliant,Lead free,Unaffected Nov-2011
BAT-HLD-001-ND,LINX TECHNOLOGIES INC,BAT-HLD-001,BAT1,1,0,0,HOLDER BATTERY 20MM COIN,,RoHS Compliant,Lead free,Unaffected Oct-2011
ATMEGA328P-AU-ND,ATMEL,ATMEGA328P-AU,U1,1,0,0,IC MCU 8BIT 32KB FLASH 32TQFP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
887-1747-1-ND,TXC CORPORATION (VA),7A-16.000MAAE-T,X1,1,0,0,CRYSTAL 16.000MHZ 12PF SMD,Alternate Packaging Exists,RoHS Compliant,Lead free by exemption,Not Available
RHM10KCGCT-ND,ROHM SEMICONDUCTOR (PASSIVE) (VA),MCR03ERTJ103,R1,1,0,0,RES 10K OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
AS1115-BSSTCT-ND,AMS (VA),AS1115-BSST,U2,1,0,0,IC DVR LED 64LED/7SEG I2C 24QSOP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2011
516-1207-5-ND,AVAGO TECHNOLOGIES US INC,HDSP-523E,DSP1-3,3,0,0,LED 7-SEG 14.2MM 2DIG CC HER RHD,,RoHS Compliant,Lead free,Unaffected Jun-2012
67-1412-ND,LUMEX OPTO/COMPONENTS INC,LDD-F302NI,DSP4,1,0,0,LED 7-SEG .30 DUAL GRN CC MULTIX,,RoHS Compliant,Lead free,Unaffected Jun-2012
311-15KGRCT-ND,YAGEO (VA),RC0603JR-0715KL,R2,1,0,0,RES 15K OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
296-14621-1-ND,TEXAS INSTRUMENTS (VA),MAX232IDWR,U3,1,0,0,IC DUAL EIA-232 DRVR/RCVR 16SOIC,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
S9586-ND,SULLINS CONNECTOR SOLUTIONS,SDS101-PRW2-F09-SN00-1,CN3,1,0,0,CONN D-SUB RCPT 9POS T/H GOLD,,RoHS Compliant,Lead free,Not Available
399-3118-1-ND,KEMET (VA),C0603C105K8PACTU,C3-C6,4,0,0,CAP CER 1UF 10V 10% X5R 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
497-1203-1-ND,STMICROELECTRONICS (VA),L78M05CDT-TR,U4,1,0,0,IC REG LDO 5V 0.5A DPAK,No delivery date available,RoHS Compliant,Lead free,Unaffected Jul-2011
1276-3016-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL21F225ZOFNNNE,"C7,C13",2,0,0,CAP CER 2.2UF 16V Y5V 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
WM2744-ND,MOLEX INC,22292021,CN4,1,0,0,CONN HEADER 2POS .100 VERT GOLD,,RoHS Compliant,Lead free,Unaffected Dec-2009
1276-1005-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL10B104KO8NNNC,C8,1,0,0,CAP CER 0.1UF 16V 10% X7R 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
754-1265-ND,KINGBRIGHT CORP,WP7113LGD,LED1,1,0,0,LED SS 5MM 568NM GREEN DIFF,,RoHS Compliant,Lead free,Unaffected Dec-2012
754-1489-ND,KINGBRIGHT CORP,WP7113QBC/D,LED2,1,0,0,LED BLUE 470NM WTR CLEAR 5MM,,RoHS Compliant,Lead free,Unaffected Dec-2012
754-1266-ND,KINGBRIGHT CORP,WP7113LID,LED4,1,0,0,LED SS 5MM 625NM RED DIFF,,RoHS Compliant,Lead free,Unaffected Dec-2012
754-1268-ND,KINGBRIGHT CORP,WP7113LYD,LED3,1,0,0,LED SS 5MM 588NM YLW DIFF,,RoHS Compliant,Lead free,Unaffected Dec-2012
311-1.8KGRCT-ND,YAGEO (VA),RC0603JR-071K8L,R3-R5,3,0,0,RES 1.8K OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-100GRCT-ND,YAGEO (VA),RC0603JR-07100RL,R6,1,0,0,RES 100 OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
1276-1011-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL10F104ZA8NNNC,C9-C12,4,0,0,CAP CER 0.1UF 25V Y5V 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
C512T-WNN-CW0Z0151-ND,CREE INC,C512T-WNN-CW0Z0151,LED5,1,0,0,LED 5MM ROUND COOL WHITE 25DEG,,RoHS Compliant,Lead free,Unaffected Jun-2011
BAV70LT3GOSCT-ND,ON SEMICONDUCTOR (VA),BAV70LT3G,DA1,1,0,0,DIODE ARRAY 70V 200MA SOT23,,RoHS Compliant,Lead free,Unaffected Jun-2012
311-18GRCT-ND,YAGEO (VA),RC0603JR-0718RL,R7,1,0,0,RES 18 OHM 1/10W 5% 0603 SMD,,RoHS Compliant,Lead free,Unaffected Sep-2011